shipment_id,carrier,origin_city,destination_city,product_type,delay_risk,delay_probability,estimated_delay_days,customer_notification,notification_urgency
SHP00046,AirExpress,Mumbai,Cape Town,Industrial,High,0.9924,16,"I'm sorry your shipment SHP00046 from Mumbai to Cape Town is now expected between Jan 26, 2024 to Jan 27, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00050,GroundPlus,Mumbai,Frankfurt,Electronics,High,0.6212,13,"I'm sorry your shipment SHP00050 from Mumbai to Frankfurt is now expected between Sep 29, 2024 to Sep 30, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00053,QuickMove,Dubai,Tokyo,Pharma,High,0.775,20,"I'm sorry your shipment SHP00053 from Dubai to Tokyo is now expected between Aug 17, 2024 to Aug 18, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00056,GroundPlus,Singapore,Sydney,Perishable,Medium,0.5994,13,"I'm sorry your shipment SHP00056 from Singapore to Sydney is now expected between Apr 28, 2024 to Apr 29, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",SCHEDULED
SHP00057,GroundPlus,Ṣo Paulo,Cape Town,Consumer Goods,High,0.9943,19,"I'm sorry your shipment SHP00057 from Ṣo Paulo to Cape Town is now expected between Jul 09, 2024 to Jul 10, 2024. The most likely cause is delayed customs clearance (currently Held). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00059,GlobalFreight,Mumbai,New York,Consumer Goods,High,0.9496,16,"I'm sorry your shipment SHP00059 from Mumbai to New York is now expected between May 28, 2024 to May 29, 2024. The most likely cause is routing delays with GlobalFreight. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00086,GroundPlus,Rotterdam,Toronto,Pharma,High,0.7405,10,"I'm sorry your shipment SHP00086 from Rotterdam to Toronto is now expected between May 03, 2024 to May 04, 2024. The most likely cause is delayed customs clearance (currently Held). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00087,FastShip,Singapore,Sydney,Perishable,High,0.9923,14,"I'm sorry your shipment SHP00087 from Singapore to Sydney is now expected between Sep 23, 2024 to Sep 24, 2024. The most likely cause is routing delays with FastShip. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00088,GroundPlus,Shanghai,New York,Pharma,High,0.9812,10,"I'm sorry your shipment SHP00088 from Shanghai to New York is now expected between Dec 13, 2024 to Dec 14, 2024. The most likely cause is routing delays with GroundPlus. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00089,GroundPlus,Dubai,Tokyo,Consumer Goods,High,0.8714,25,"I'm sorry your shipment SHP00089 from Dubai to Tokyo is now expected between Nov 12, 2024 to Nov 13, 2024. The most likely cause is routing delays with GroundPlus. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00090,GlobalFreight,Ṣo Paulo,Tokyo,Perishable,High,0.9905,24,"I'm sorry your shipment SHP00090 from Ṣo Paulo to Tokyo is now expected between Dec 18, 2024 to Dec 19, 2024. The most likely cause is routing delays with GlobalFreight. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00092,GlobalFreight,Mumbai,Sydney,Industrial,High,0.9743,7,"I'm sorry your shipment SHP00092 from Mumbai to Sydney is now expected between Oct 26, 2024 to Oct 27, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00093,FastShip,Dubai,London,Industrial,High,0.9793,13,"I'm sorry your shipment SHP00093 from Dubai to London is now expected between Nov 29, 2024 to Nov 30, 2024. The most likely cause is delayed customs clearance (currently Held). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00094,FastShip,Mumbai,Toronto,Industrial,High,0.9378,15,"I'm sorry your shipment SHP00094 from Mumbai to Toronto is now expected between Jul 08, 2024 to Jul 09, 2024. The most likely cause is routing delays with FastShip. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00098,GroundPlus,Mumbai,Toronto,Industrial,Medium,0.5333,8,"I'm sorry your shipment SHP00098 from Mumbai to Toronto is now expected between Nov 04, 2024 to Nov 05, 2024. The most likely cause is routing delays with GroundPlus. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",SCHEDULED
SHP00099,GlobalFreight,Mumbai,New York,Electronics,High,0.9346,25,"I'm sorry your shipment SHP00099 from Mumbai to New York is now expected between Aug 28, 2024 to Aug 29, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00115,AirExpress,Ṣo Paulo,Frankfurt,Perishable,High,0.9553,20,"I'm sorry your shipment SHP00115 from Ṣo Paulo to Frankfurt is now expected between Aug 03, 2024 to Aug 04, 2024. The most likely cause is delayed customs clearance (currently Held). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00116,FastShip,Shanghai,Toronto,Pharma,High,0.6664,18,"I'm sorry your shipment SHP00116 from Shanghai to Toronto is now expected between Dec 13, 2024 to Dec 14, 2024. The most likely cause is delayed customs clearance (currently Held). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00117,FastShip,Singapore,Sydney,Pharma,High,0.9826,18,"I'm sorry your shipment SHP00117 from Singapore to Sydney is now expected between Jul 05, 2024 to Jul 06, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00118,QuickMove,Rotterdam,Tokyo,Perishable,High,0.9392,24,"I'm sorry your shipment SHP00118 from Rotterdam to Tokyo is now expected between Jul 20, 2024 to Jul 21, 2024. The most likely cause is routing delays with QuickMove. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00119,AirExpress,Chicago,Cape Town,Consumer Goods,High,0.9702,22,"I'm sorry your shipment SHP00119 from Chicago to Cape Town is now expected between May 09, 2024 to May 10, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00120,AirExpress,Shanghai,Frankfurt,Consumer Goods,High,0.9651,21,"I'm sorry your shipment SHP00120 from Shanghai to Frankfurt is now expected between Aug 28, 2024 to Aug 29, 2024. The most likely cause is routing delays with AirExpress. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00122,AirExpress,Singapore,Tokyo,Perishable,High,0.9274,20,"I'm sorry your shipment SHP00122 from Singapore to Tokyo is now expected between Nov 06, 2024 to Nov 07, 2024. The most likely cause is delayed customs clearance (currently Held). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00123,FastShip,Shanghai,London,Perishable,High,0.979,19,"I'm sorry your shipment SHP00123 from Shanghai to London is now expected between Apr 25, 2024 to Apr 26, 2024. The most likely cause is routing delays with FastShip. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00124,AirExpress,Mumbai,Sydney,Consumer Goods,High,0.9825,9,"I'm sorry your shipment SHP00124 from Mumbai to Sydney is now expected between Dec 27, 2024 to Dec 28, 2024. The most likely cause is routing delays with AirExpress. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00125,GroundPlus,Chicago,New York,Pharma,High,0.9766,16,"I'm sorry your shipment SHP00125 from Chicago to New York is now expected between Feb 21, 2024 to Feb 22, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00126,AirExpress,Mumbai,Sydney,Consumer Goods,High,0.99,20,"I'm sorry your shipment SHP00126 from Mumbai to Sydney is now expected between Aug 22, 2024 to Aug 23, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00127,AirExpress,Dubai,New York,Industrial,Medium,0.4592,9,"I'm sorry your shipment SHP00127 from Dubai to New York is now expected between Dec 15, 2024 to Dec 16, 2024. The most likely cause is delayed customs clearance (currently Held). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",SCHEDULED
SHP00128,AirExpress,Shanghai,Frankfurt,Consumer Goods,High,0.9849,23,"I'm sorry your shipment SHP00128 from Shanghai to Frankfurt is now expected between Apr 06, 2024 to Apr 07, 2024. The most likely cause is delayed customs clearance (currently Held). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00129,AirExpress,Mumbai,Cape Town,Industrial,High,0.9277,23,"I'm sorry your shipment SHP00129 from Mumbai to Cape Town is now expected between Feb 13, 2024 to Feb 14, 2024. The most likely cause is routing delays with AirExpress. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00130,FastShip,Rotterdam,Tokyo,Industrial,High,0.9511,19,"I'm sorry your shipment SHP00130 from Rotterdam to Tokyo is now expected between Dec 01, 2024 to Dec 02, 2024. The most likely cause is routing delays with FastShip. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00131,AirExpress,Chicago,Toronto,Pharma,High,0.9255,19,"I'm sorry your shipment SHP00131 from Chicago to Toronto is now expected between Dec 06, 2024 to Dec 07, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00132,GroundPlus,Rotterdam,Tokyo,Electronics,High,0.9632,22,"I'm sorry your shipment SHP00132 from Rotterdam to Tokyo is now expected between Mar 16, 2024 to Mar 17, 2024. The most likely cause is routing delays with GroundPlus. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00133,GroundPlus,Singapore,Cape Town,Perishable,High,0.9278,15,"I'm sorry your shipment SHP00133 from Singapore to Cape Town is now expected between Dec 08, 2024 to Dec 09, 2024. The most likely cause is routing delays with GroundPlus. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00135,QuickMove,Dubai,Tokyo,Industrial,High,0.9729,9,"I'm sorry your shipment SHP00135 from Dubai to Tokyo is now expected between May 31, 2024 to Jun 01, 2024. The most likely cause is routing delays with QuickMove. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00137,QuickMove,Shanghai,Toronto,Perishable,High,0.976,24,"I'm sorry your shipment SHP00137 from Shanghai to Toronto is now expected between Oct 18, 2024 to Oct 19, 2024. The most likely cause is routing delays with QuickMove. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00138,FastShip,Chicago,Tokyo,Perishable,High,0.9723,8,"I'm sorry your shipment SHP00138 from Chicago to Tokyo is now expected between May 10, 2024 to May 11, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00139,GlobalFreight,Mumbai,New York,Industrial,High,0.7008,17,"I'm sorry your shipment SHP00139 from Mumbai to New York is now expected between Mar 07, 2024 to Mar 08, 2024. The most likely cause is routing delays with GlobalFreight. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00140,GlobalFreight,Dubai,London,Electronics,High,0.9692,17,"I'm sorry your shipment SHP00140 from Dubai to London is now expected between Oct 21, 2024 to Oct 22, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00141,AirExpress,Chicago,New York,Pharma,High,0.9105,17,"I'm sorry your shipment SHP00141 from Chicago to New York is now expected between Jan 24, 2024 to Jan 25, 2024. The most likely cause is routing delays with AirExpress. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00144,GlobalFreight,Rotterdam,London,Perishable,High,0.8319,9,"I'm sorry your shipment SHP00144 from Rotterdam to London is now expected between Aug 26, 2024 to Aug 27, 2024. The most likely cause is routing delays with GlobalFreight. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00146,GlobalFreight,Ṣo Paulo,New York,Electronics,High,0.8893,16,"I'm sorry your shipment SHP00146 from Ṣo Paulo to New York is now expected between Feb 05, 2024 to Feb 06, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00147,GlobalFreight,Dubai,Frankfurt,Industrial,High,0.9707,11,"I'm sorry your shipment SHP00147 from Dubai to Frankfurt is now expected between Aug 11, 2024 to Aug 12, 2024. The most likely cause is delayed customs clearance (currently Held). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00148,QuickMove,Singapore,New York,Pharma,Medium,0.4593,15,"I'm sorry your shipment SHP00148 from Singapore to New York is now expected between Dec 21, 2024 to Dec 22, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",SCHEDULED
SHP00149,GlobalFreight,Singapore,Tokyo,Pharma,High,0.9791,23,"I'm sorry your shipment SHP00149 from Singapore to Tokyo is now expected between Feb 26, 2024 to Feb 27, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00150,AirExpress,Mumbai,London,Electronics,High,0.746,13,"I'm sorry your shipment SHP00150 from Mumbai to London is now expected between Apr 27, 2024 to Apr 28, 2024. The most likely cause is routing delays with AirExpress. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00151,GlobalFreight,Ṣo Paulo,New York,Industrial,High,0.9926,12,"I'm sorry your shipment SHP00151 from Ṣo Paulo to New York is now expected between May 19, 2024 to May 20, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00152,QuickMove,Rotterdam,Frankfurt,Industrial,High,0.9123,15,"I'm sorry your shipment SHP00152 from Rotterdam to Frankfurt is now expected between Apr 10, 2024 to Apr 11, 2024. The most likely cause is routing delays with QuickMove. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00153,AirExpress,Chicago,Toronto,Consumer Goods,High,0.9089,11,"I'm sorry your shipment SHP00153 from Chicago to Toronto is now expected between Feb 23, 2024 to Feb 24, 2024. The most likely cause is routing delays with AirExpress. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00154,QuickMove,Ṣo Paulo,Frankfurt,Pharma,High,0.9631,15,"I'm sorry your shipment SHP00154 from Ṣo Paulo to Frankfurt is now expected between Jul 26, 2024 to Jul 27, 2024. The most likely cause is routing delays with QuickMove. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00155,GroundPlus,Ṣo Paulo,Toronto,Electronics,High,0.9585,13,"I'm sorry your shipment SHP00155 from Ṣo Paulo to Toronto is now expected between Sep 26, 2024 to Sep 27, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00156,QuickMove,Chicago,Toronto,Industrial,High,0.9816,19,"I'm sorry your shipment SHP00156 from Chicago to Toronto is now expected between Feb 08, 2024 to Feb 09, 2024. The most likely cause is delayed customs clearance (currently Held). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00157,FastShip,Chicago,Frankfurt,Pharma,High,0.9787,15,"I'm sorry your shipment SHP00157 from Chicago to Frankfurt is now expected between Dec 14, 2024 to Dec 15, 2024. The most likely cause is routing delays with FastShip. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00160,FastShip,Ṣo Paulo,London,Industrial,High,0.9418,15,"I'm sorry your shipment SHP00160 from Ṣo Paulo to London is now expected between Aug 13, 2024 to Aug 14, 2024. The most likely cause is routing delays with FastShip. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00161,FastShip,Mumbai,Tokyo,Consumer Goods,High,0.7404,11,"I'm sorry your shipment SHP00161 from Mumbai to Tokyo is now expected between Jan 15, 2024 to Jan 16, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00162,GlobalFreight,Singapore,Toronto,Electronics,High,0.9868,23,"I'm sorry your shipment SHP00162 from Singapore to Toronto is now expected between Aug 02, 2024 to Aug 03, 2024. The most likely cause is delayed customs clearance (currently Held). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00163,GlobalFreight,Dubai,London,Pharma,High,0.8915,10,"I'm sorry your shipment SHP00163 from Dubai to London is now expected between Apr 13, 2024 to Apr 14, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00166,GroundPlus,Singapore,New York,Electronics,High,0.9568,19,"I'm sorry your shipment SHP00166 from Singapore to New York is now expected between Jul 10, 2024 to Jul 11, 2024. The most likely cause is delayed customs clearance (currently Held). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00167,GroundPlus,Chicago,Sydney,Perishable,High,0.9565,17,"I'm sorry your shipment SHP00167 from Chicago to Sydney is now expected between Feb 16, 2024 to Feb 17, 2024. The most likely cause is delayed customs clearance (currently Held). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00169,GlobalFreight,Rotterdam,Toronto,Consumer Goods,High,0.9937,23,"I'm sorry your shipment SHP00169 from Rotterdam to Toronto is now expected between Jul 06, 2024 to Jul 07, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00170,FastShip,Dubai,Sydney,Electronics,High,0.9712,21,"I'm sorry your shipment SHP00170 from Dubai to Sydney is now expected between Mar 03, 2024 to Mar 04, 2024. The most likely cause is routing delays with FastShip. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00172,QuickMove,Singapore,Tokyo,Consumer Goods,High,0.9556,12,"I'm sorry your shipment SHP00172 from Singapore to Tokyo is now expected between May 15, 2024 to May 16, 2024. The most likely cause is routing delays with QuickMove. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00173,GlobalFreight,Shanghai,London,Electronics,High,0.9854,12,"I'm sorry your shipment SHP00173 from Shanghai to London is now expected between May 23, 2024 to May 24, 2024. The most likely cause is routing delays with GlobalFreight. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00174,AirExpress,Dubai,New York,Pharma,High,0.9929,9,"I'm sorry your shipment SHP00174 from Dubai to New York is now expected between Nov 12, 2024 to Nov 13, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00175,FastShip,Dubai,Sydney,Industrial,High,0.957,24,"I'm sorry your shipment SHP00175 from Dubai to Sydney is now expected between Jun 21, 2024 to Jun 22, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00176,FastShip,Mumbai,New York,Perishable,High,0.9742,10,"I'm sorry your shipment SHP00176 from Mumbai to New York is now expected between Nov 01, 2024 to Nov 02, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00177,FastShip,Rotterdam,New York,Consumer Goods,High,0.9223,20,"I'm sorry your shipment SHP00177 from Rotterdam to New York is now expected between Nov 24, 2024 to Nov 25, 2024. The most likely cause is delayed customs clearance (currently Held). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00179,GlobalFreight,Ṣo Paulo,Sydney,Pharma,High,0.9306,17,"I'm sorry your shipment SHP00179 from Ṣo Paulo to Sydney is now expected between Jan 13, 2025 to Jan 14, 2025. The most likely cause is routing delays with GlobalFreight. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00180,GroundPlus,Chicago,Tokyo,Pharma,High,0.9889,8,"I'm sorry your shipment SHP00180 from Chicago to Tokyo is now expected between May 03, 2024 to May 04, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00181,FastShip,Singapore,Cape Town,Pharma,High,0.9046,16,"I'm sorry your shipment SHP00181 from Singapore to Cape Town is now expected between Aug 20, 2024 to Aug 21, 2024. The most likely cause is routing delays with FastShip. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00182,AirExpress,Rotterdam,Cape Town,Industrial,High,0.9588,16,"I'm sorry your shipment SHP00182 from Rotterdam to Cape Town is now expected between Mar 24, 2024 to Mar 25, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00183,QuickMove,Singapore,Cape Town,Consumer Goods,High,0.8633,16,"I'm sorry your shipment SHP00183 from Singapore to Cape Town is now expected between Jan 07, 2025 to Jan 08, 2025. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00184,AirExpress,Rotterdam,London,Pharma,High,0.9233,7,"I'm sorry your shipment SHP00184 from Rotterdam to London is now expected between Aug 13, 2024 to Aug 14, 2024. The most likely cause is routing delays with AirExpress. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00186,AirExpress,Shanghai,New York,Electronics,High,0.952,16,"I'm sorry your shipment SHP00186 from Shanghai to New York is now expected between Dec 14, 2024 to Dec 15, 2024. The most likely cause is routing delays with AirExpress. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00189,AirExpress,Rotterdam,Frankfurt,Pharma,High,0.9929,24,"I'm sorry your shipment SHP00189 from Rotterdam to Frankfurt is now expected between Oct 25, 2024 to Oct 26, 2024. The most likely cause is routing delays with AirExpress. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
